"cf161046-06dc-46ab-8951-8c94778e2a2a","jungle",100,"Drum and bass",100,"dnb",100,"Drum-n-bass",100,"d-n-b",100,"junglec und dramec",100,"7 of 10 stars",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cbd1bc8d-056c-4d36-a730-b1e203ce5c23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ce978f9d-ab85-4ecf-8aca-05c1b5013480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cd3f4a3f-e1ea-4bc4-921c-a8058b2c2cd9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ce5d55cb-4f4d-413c-9b4e-afabb1b239f6","celtic",100,"new age",97,"ambient",49,"Secret Garden",45,"folk",32,"relaxing",20,"instrumental",16,"ethereal",16,"relax",16,"nocturne",12,"chillout",12,"female vocalists",10,"Eurovision",9,"beautiful",9,"neo-classical",8,"norwegian",8,"female vocalist",7,"violin",6,"easy listening",5,"irish",5,"Classical",5,"calm",5,"melancholy",4,"relaxation",4,"spiritual",4,"Dreamy",3,"atmospheric",3,"90s",3,"romantic",3,"Meditation",3,"soft",2,"Eurovision 1995",2,"chill",2,"Secret Garden - Nocturne",2,"world",2,"vocal",2,"eurovision winner",2,"Eurovision Song Contest",2,"nordic",2,"jazzysnewagefemale",2,"Love",2,"favorites",2,"Soundtrack",2,"Norway",2,"neoclassical",1,"World Music",1,"soothing",1,"slow",1,"enya",1,"Dream",1,"mystic",1,"lounge",1,"peace",1,"Reflective",1,"Sentimental",1,"sad",1,"alternative",1,"peaceful",1,"melodic",1,"nice",1,"female",1,"nordic folk",1,"female vocal",1,"contemporary instrumental",1,"jazzysnewageN-Z",1,"secret garden-nocturne",1,"melancholic",1,"meditative",1,"sweet",1,"JazzysNewAge",1,"haunting",1,"Mellow",1,"celta",1,"pop",1,"10 of 10 stars",1,"waltz",1,"Favourites",1,"Gothic",1,"strings",0,"ESC",0,"Sleep",0,"Angelic Voices",0,"Nocturne - Secret Garden",0,"scandinavian",0,"celtic folk",0,"New Instrumental Music",0,"illussions",0,"english",0,"orchestral",0,"My favorite bands",0,"Calming",0,"Kitaro",0,"enigmatic",0,"mood",0,"My Favourites",0,"newage",0,"fav",0,"females",0,"a",0,"inheems",0
"cffadc24-5ba0-40e0-84b1-e07fea9d15cb","Ridiculously brilliant",100,"Stunning",50,"Pure melodies of perfection",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c47314c0-c1fe-49a6-bfcd-aaaad7143b00","Soundtrack",100,"instrumental",33,"film score",33,"movie themes",33,"Iron Man",33,"heroes in movie music",33,"movie music great action cues",33,"ramin djawadi",33,"modern orchestra",33,"rockin good",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cd94951f-86e1-42e3-9f0d-c8f59bae60cf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cebc1475-0f27-4654-ad8b-72e29808f0e1","rock",100,"singer-songwriter",80,"90s",80,"songs named after girls",60,"Songs with names",40,"Robert Quine",40,"my angel",40,"gh gh",40,"angel",40,-21,40,"Feel-Good Music",40,"posdel",40,"power pop",40,"-m512fh",40,"pop",40,"alternative",40,"6 of 10 stars",20,"2 from each",20,"songs involving names",20,"web programming playlist",20,"Emotional Adult Rock",20,"Sentimental Favorites From The 1990s",20,"01-fh120427",20,"Noah Eatons All-Time Favorite Songs",20,"Alternative In The 1990s",20,"agents of chaos",20,"01-fh",20,"womans name",20,"SAB Music",20,"Radiotsar approved",20,"Mellow",20,"Alt-country",20,"indie pop",20,"happy",20,"romantic",20,"fav",20,"my favorite",20,"Bittersweet",20,"1990s",20,"Beautiful women",20,"cocaine",20,"lovesong",20,"uninvitedsaint",20,"nonsuck",20,"girls name",20,"The soundtrack to my wasted life",20,"aces",20,"seen live",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c2c338c2-c5e1-4f43-b6f7-4fd26e096e5d","deutsch rock",100,"deutsch",77,"Love",66,"german",44,"alternative",44,"pop",33,"pop rock",33,"echt",33,"friendsofthekingofrummelpop",22,"liebe",22,"Deutsch - RockPop",22,"Steff Musik",11,"henkers lieblingslieder xd",11,"scheissaufdeutschetexte",11,"Liebesschmrz",11,"jeks tags",11,"sorrow",11,"DE",11,"rock",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c6f2c05a-1275-4fac-b245-02d9d6c901b3","singer-songwriter",100,"elton john",66,"mindracer",33,"Elton",33,"You and I",33,"piano rock",33,"british rock",33,"piano pop",33,"british",33,"oldies",33,"live",33,"pop rock",33,"favorites",33,"piano",33,"singer-songwriters",33,"70s",33,"rock",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
